"cond_open","cond_close","stop_loss","profit","deals"
-2,0.1,-10,"768.08",102
-2,0.1,-20,"768.08",102
-2,0.1,-30,"768.08",102
-2,0.1,-40,"768.08",102
-2,0.2,-10,"779.03",102
-2,0.2,-20,"779.03",102
-2,0.2,-30,"779.03",102
-2,0.2,-40,"779.03",102
-2,0.3,-10,"822.14",104
-2,0.3,-20,"822.14",104
-2,0.3,-30,"822.14",104
-2,0.3,-40,"822.14",104
-2,0.4,-10,"799.65",100
-2,0.4,-20,"799.65",100
-2,0.4,-30,"799.65",100
-2,0.4,-40,"799.65",100
-2,0.5,-10,"840.31",95
-2,0.5,-20,"840.31",95
-2,0.5,-30,"840.31",95
-2,0.5,-40,"840.31",95
-2,0.6,-10,"792.20",93
-2,0.6,-20,"792.20",93
-2,0.6,-30,"792.20",93
-2,0.6,-40,"792.20",93
-2,0.7,-10,"858.88",92
-2,0.7,-20,"858.88",92
-2,0.7,-30,"858.88",92
-2,0.7,-40,"858.88",92
-2,0.8,-10,"322.58",61
-2,0.8,-20,"322.58",61
-2,0.8,-30,"322.58",61
-2,0.8,-40,"322.58",61
-2,0.9,-10,"369.34",61
-2,0.9,-20,"369.34",61
-2,0.9,-30,"369.34",61
-2,0.9,-40,"369.34",61
-2,1,-10,"361.41",58
-2,1,-20,"361.41",58
-2,1,-30,"361.41",58
-2,1,-40,"361.41",58
-2,1.1,-10,"335.82",57
-2,1.1,-20,"335.82",57
-2,1.1,-30,"335.82",57
-2,1.1,-40,"335.82",57
-2,1.2,-10,"186.19",43
-2,1.2,-20,"186.19",43
-2,1.2,-30,"186.19",43
-2,1.2,-40,"186.19",43
-2,1.3,-10,"193.17",43
-2,1.3,-20,"193.17",43
-2,1.3,-30,"193.17",43
-2,1.3,-40,"193.17",43
-2,1.4,-10,"163.45",41
-2,1.4,-20,"134.08",41
-2,1.4,-30,"104.67",41
-2,1.4,-40,"107.37",32
-2,1.5,-10,"162.95",40
-2,1.5,-20,"133.63",40
-2,1.5,-30,"104.29",40
-2,1.5,-40,"109.54",32
-2,1.6,-10,"152.19",37
-2,1.6,-20,"124.08",37
-2,1.6,-30,"95.93",37
-2,1.6,-40,"100.82",29
-2,1.7,-10,"121.10",30
-2,1.7,-20,"96.45",30
-2,1.7,-30,"71.77",30
-2,1.7,-40,"103.49",29
-2,1.8,-10,"122.25",29
-2,1.8,-20,"97.47",29
-2,1.8,-30,"72.67",29
-2,1.8,-40,"104.27",28
-2,1.9,-10,"127.05",29
-2,1.9,-20,"101.73",29
