"cond_open","cond_close","stop_loss","profit","deals"
-2,0.1,-10,"-17.28",50
-2,0.1,-20,"-8.43",49
-2,0.1,-30,"38.39",46
-2,0.2,-10,"-15.92",49
-2,0.2,-20,"-6.93",48
-2,0.2,-30,"40.69",45
-2,0.3,-10,"-13.91",48
-2,0.3,-20,"-4.73",47
-2,0.3,-30,"48.31",44
-2,0.4,-10,"-13.26",47
-2,0.4,-20,"-4.02",46
-2,0.4,-30,"49.42",43
-2,0.5,-10,"-12.46",47
-2,0.5,-20,"-3.14",46
-2,0.5,-30,"50.82",43
-2,0.6,-10,"-9.45",47
-2,0.6,-20,"0.17",46
-2,0.6,-30,"56.02",43
-2,0.7,-10,"-9.33",46
-2,0.7,-20,"0.30",45
-2,0.7,-30,"56.22",42
-2,0.8,-10,"-8.47",46
-2,0.8,-20,"1.24",45
-2,0.8,-30,"57.72",42
-2,0.9,-10,"-16.31",44
-2,0.9,-20,"1.44",43
-2,0.9,-30,"58.03",40
-2,1,-10,"-15.93",42
-2,1,-20,"1.99",41
-2,1,-30,"58.88",38
-2,1.1,-10,"-7.78",39
-2,1.1,-20,"2.01",38
-2,1.1,-30,"58.92",35
-2,1.2,-10,"-12.01",35
-2,1.2,-20,"-2.62",34
-2,1.2,-30,"51.58",31
-2,1.3,-10,"-19.40",32
-2,1.3,-20,"-1.99",31
-2,1.3,-30,"52.58",28
-2,1.4,-10,"-20.56",25
-2,1.4,-20,"-11.99",24
-2,1.4,-30,"36.74",21
-2,1.5,-10,"-15.82",26
-2,1.5,-20,"-6.79",25
-2,1.5,-30,"44.97",22
-2,1.6,-10,"-14.95",26
-2,1.6,-20,"-5.84",25
-2,1.6,-30,"46.46",22
-2,1.7,-10,"-14.45",26
-2,1.7,-20,"-5.29",25
-2,1.7,-30,"47.33",22
-2,1.8,-10,"-14.52",25
-2,1.8,-20,"-5.37",24
-2,1.8,-30,"48.29",20
-2,1.9,-10,"-13.51",24
-2,1.9,-20,"-4.26",23
-2,1.9,-30,"50.11",20
-2,2,-10,"-18.24",22
-2,2,-20,"-9.43",21
-2,2,-30,"41.83",18
-2,2.1,-10,"-17.67",22
-2,2.1,-20,"-8.82",21
-2,2.1,-30,"42.81",18
-2,2.2,-10,"-16.29",21
-2,2.2,-20,"-7.30",20
-2,2.2,-30,"45.23",17
-2,2.3,-10,"-15.42",21
-2,2.3,-20,"-6.34",20
-2,2.3,-30,"46.76",17
-2,2.4,-10,"-14.54",21
-2,2.4,-20,"-5.38",20
-2,2.4,-30,"48.30",17
-2,2.5,-10,"-12.03",21
-2,2.5,-20,"-2.60",20
-2,2.5,-30,"47.42",17
-2,2.6,-10,"-19.95",21
-2,2.6,-20,"-18.89",20
-2,2.6,-30,"5.80",15
-2,2.7,-10,"-20.66",20
-2,2.7,-20,"-19.60",19
-2,2.7,-30,"4.76",14
-2,2.8,-10,"-21.78",19
-2,2.8,-20,"-20.72",18
-2,2.8,-30,"3.05",13
-2,2.9,-10,"-21.30",19
-2,2.9,-20,"-20.24",18
-2,2.9,-30,"6.74",13
-2,3,-10,"-22.37",18
-2,3,-20,"-21.31",17
-2,3,-30,"5.20",12
-1.9,0.1,-10,"-16.63",53
-1.9,0.1,-20,"-7.72",52
-1.9,0.1,-30,"39.48",49
-1.9,0.2,-10,"-14.50",53
-1.9,0.2,-20,"-5.37",52
-1.9,0.2,-30,"43.08",49
-1.9,0.3,-10,"-12.45",52
-1.9,0.3,-20,"-3.13",51
-1.9,0.3,-30,"50.83",48
-1.9,0.4,-10,"-11.74",51
-1.9,0.4,-20,"-2.35",50
-1.9,0.4,-30,"52.07",47
-1.9,0.5,-10,"-12.29",48
-1.9,0.5,-20,"-2.95",47
-1.9,0.5,-30,"51.11",44
-1.9,0.6,-10,"-9.12",48
-1.9,0.6,-20,"0.53",47
-1.9,0.6,-30,"56.60",44
-1.9,0.7,-10,"-9.00",47
-1.9,0.7,-20,"0.67",46
-1.9,0.7,-30,"56.80",43
-1.9,0.8,-10,"-7.78",47
-1.9,0.8,-20,"2.00",46
-1.9,0.8,-30,"58.91",43
-1.9,0.9,-10,"-15.28",45
-1.9,0.9,-20,"2.69",44
-1.9,0.9,-30,"60.01",41
-1.9,1,-10,"-15.31",42
-1.9,1,-20,"2.67",41
-1.9,1,-30,"59.95",38
-1.9,1.1,-10,"-6.68",40
-1.9,1.1,-20,"3.21",39
-1.9,1.1,-30,"60.82",36
-1.9,1.2,-10,"-10.96",36
-1.9,1.2,-20,"-1.48",35
-1.9,1.2,-30,"53.39",32
-1.9,1.3,-10,"-17.70",34
-1.9,1.3,-20,"0.08",33
-1.9,1.3,-30,"55.85",30
-1.9,1.4,-10,"-18.88",27
-1.9,1.4,-20,"-10.15",26
-1.9,1.4,-30,"39.65",23
-1.9,1.5,-10,"-13.82",28
-1.9,1.5,-20,"-4.60",27
-1.9,1.5,-30,"48.44",24
-1.9,1.6,-10,"-13.75",27
-1.9,1.6,-20,"-4.53",26
-1.9,1.6,-30,"48.55",23
-1.9,1.7,-10,"-13.40",27
-1.9,1.7,-20,"-4.14",26
-1.9,1.7,-30,"49.16",23
-1.9,1.8,-10,"-12.63",26
-1.9,1.8,-20,"-3.30",25
-1.9,1.8,-30,"51.60",21
-1.9,1.9,-10,"-11.59",25
-1.9,1.9,-20,"-2.16",24
-1.9,1.9,-30,"53.46",21
-1.9,2,-10,"-15.20",23
-1.9,2,-20,"-6.11",22
-1.9,2,-30,"47.15",19
-1.9,2.1,-10,"-14.61",23
-1.9,2.1,-20,"-5.46",22
-1.9,2.1,-30,"48.17",19
-1.9,2.2,-10,"-14.79",22
-1.9,2.2,-20,"-5.66",21
-1.9,2.2,-30,"47.85",18
-1.9,2.3,-10,"-13.73",22
-1.9,2.3,-20,"-4.49",21
-1.9,2.3,-30,"49.71",18
-1.9,2.4,-10,"-12.62",22
-1.9,2.4,-20,"-3.28",21
-1.9,2.4,-30,"51.65",18
-1.9,2.5,-10,"-8.46",22
-1.9,2.5,-20,"1.32",21
-1.9,2.5,-30,"53.46",18
-1.9,2.6,-10,"-16.04",22
-1.9,2.6,-20,"-14.98",21
-1.9,2.6,-30,"11.02",16
-1.9,2.7,-10,"-18.60",21
-1.9,2.7,-20,"-17.54",20
-1.9,2.7,-30,"7.51",15
-1.9,2.8,-10,"-19.75",20
-1.9,2.8,-20,"-18.69",19
-1.9,2.8,-30,"5.76",14
-1.9,2.9,-10,"-19.22",20
-1.9,2.9,-20,"-18.16",19
-1.9,2.9,-30,"9.60",14
-1.9,3,-10,"-20.32",19
-1.9,3,-20,"-19.26",18
-1.9,3,-30,"8.02",13
-1.8,0.1,-10,"-16.54",55
-1.8,0.1,-20,"-7.61",54
-1.8,0.1,-30,"39.65",51
-1.8,0.2,-10,"-14.40",55
-1.8,0.2,-20,"-5.26",54
-1.8,0.2,-30,"43.25",51
-1.8,0.3,-10,"-11.92",54
-1.8,0.3,-20,"-2.54",53
-1.8,0.3,-30,"51.75",50
-1.8,0.4,-10,"-10.85",52
-1.8,0.4,-20,"-1.37",51
-1.8,0.4,-30,"53.60",48
-1.8,0.5,-10,"-10.95",50
-1.8,0.5,-20,"-1.48",49
-1.8,0.5,-30,"53.42",46
-1.8,0.6,-10,"-7.74",50
-1.8,0.6,-20,"2.05",49
-1.8,0.6,-30,"58.99",46
-1.8,0.7,-10,"-7.50",49
-1.8,0.7,-20,"2.32",48
-1.8,0.7,-30,"59.40",45
-1.8,0.8,-10,"-6.20",49
-1.8,0.8,-20,"3.74",48
-1.8,0.8,-30,"61.66",45
-1.8,0.9,-10,"-4.48",48
-1.8,0.9,-20,"5.63",47
-1.8,0.9,-30,"64.63",44
-1.8,1,-10,"-4.51",45
-1.8,1,-20,"5.60",44
-1.8,1,-30,"64.57",41
-1.8,1.1,-10,"-4.80",42
-1.8,1.1,-20,"5.28",41
-1.8,1.1,-30,"64.06",38
-1.8,1.2,-10,"-9.17",38
-1.8,1.2,-20,"0.49",37
-1.8,1.2,-30,"56.48",34
-1.8,1.3,-10,"-14.70",37
-1.8,1.3,-20,"-13.90",36
-1.8,1.3,-30,"21.10",33
-1.8,1.4,-10,"-24.37",29
-1.8,1.4,-20,"-23.54",28
-1.8,1.4,-30,"7.25",25
-1.8,1.5,-10,"-19.64",30
-1.8,1.5,-20,"-18.83",29
-1.8,1.5,-30,"14.01",26
-1.8,1.6,-10,"-19.58",29
-1.8,1.6,-20,"-18.76",28
-1.8,1.6,-30,"14.10",25
-1.8,1.7,-10,"-19.25",29
-1.8,1.7,-20,"-18.43",28
-1.8,1.7,-30,"15.38",24
-1.8,1.8,-10,"-18.54",28
-1.8,1.8,-20,"-17.72",27
-1.8,1.8,-30,"16.41",23
-1.8,1.9,-10,"-17.13",27
-1.8,1.9,-20,"-16.30",26
-1.8,1.9,-30,"18.47",23
-1.8,2,-10,"-20.50",25
-1.8,2,-20,"-19.67",24
-1.8,2,-30,"13.59",21
-1.8,2.1,-10,"-19.96",25
-1.8,2.1,-20,"-19.12",24
-1.8,2.1,-30,"14.38",21
-1.8,2.2,-10,"-20.12",24
-1.8,2.2,-20,"-19.29",23
-1.8,2.2,-30,"14.13",20
-1.8,2.3,-10,"-19.13",24
-1.8,2.3,-20,"-18.30",23
-1.8,2.3,-30,"15.57",20
-1.8,2.4,-10,"-18.09",24
-1.8,2.4,-20,"-17.25",23
-1.8,2.4,-30,"17.07",20
-1.8,2.5,-10,"-14.19",24
-1.8,2.5,-20,"-13.32",23
-1.8,2.5,-30,"18.47",20
-1.8,2.6,-10,"-21.22",24
-1.8,2.6,-20,"-27.17",23
-1.8,2.6,-30,"-14.24",18
-1.8,2.7,-10,"-23.26",23
-1.8,2.7,-20,"-29.02",22
-1.8,2.7,-30,"-16.52",17
-1.8,2.8,-10,"-24.34",22
-1.8,2.8,-20,"-30.01",21
-1.8,2.8,-30,"-15.29",16
-1.8,2.9,-10,"-23.84",22
