"cond_open","cond_close","step_entry","profit","deals"
-1.5,0.1,0.1,"53.01",218
-1.5,0.1,0.15,"69.89",216
-1.5,0.1,0.2,"89.47",216
-1.5,0.1,0.25,"102.22",205
-1.5,0.1,0.3,"125.14",205
-1.5,0.2,0.1,"61.99",212
-1.5,0.2,0.15,"84.18",212
-1.5,0.2,0.2,"107.22",207
-1.5,0.2,0.25,"127.46",200
-1.5,0.2,0.3,"158.01",199
-1.5,0.3,0.1,"71.72",200
-1.5,0.3,0.15,"97.91",196
-1.5,0.3,0.2,"122.00",189
-1.5,0.3,0.25,"155.35",188
-1.5,0.3,0.3,"195.98",188
-1.5,0.4,0.1,"81.10",191
-1.5,0.4,0.15,"105.57",184
-1.5,0.4,0.2,"141.12",183
-1.5,0.4,0.25,"184.64",183
-1.5,0.4,0.3,"240.55",183
-1.5,0.5,0.1,"83.78",175
-1.5,0.5,0.15,"121.27",174
-1.5,0.5,0.2,"169.93",177
-1.5,0.5,0.25,"230.69",177
-1.5,0.5,0.3,"297.29",176
-1.5,0.6,0.1,"81.09",163
-1.5,0.6,0.15,"116.97",165
-1.5,0.6,0.2,"162.38",165
-1.5,0.6,0.25,"213.42",165
-1.5,0.6,0.3,"270.70",163
-1.5,0.7,0.1,"75.97",136
-1.5,0.7,0.15,"108.00",136
-1.5,0.7,0.2,"141.70",135
-1.5,0.7,0.25,"180.81",134
-1.5,0.7,0.3,"222.03",132
-1.5,0.8,0.1,"73.04",120
-1.5,0.8,0.15,"98.18",118
-1.5,0.8,0.2,"123.84",116
-1.5,0.8,0.25,"153.15",114
-1.5,0.8,0.3,"179.52",111
-1.5,0.9,0.1,"81.83",117
-1.5,0.9,0.15,"108.39",114
-1.5,0.9,0.2,"139.66",112
-1.5,0.9,0.25,"178.26",112
-1.5,0.9,0.3,"214.05",109
-1.5,1,0.1,"82.07",111
-1.5,1,0.15,"108.64",109
-1.5,1,0.2,"137.63",106
-1.5,1,0.25,"163.90",102
-1.5,1,0.3,"158.92",98
-1.4,0.1,0.1,"53.51",256
-1.4,0.1,0.15,"70.86",255
-1.4,0.1,0.2,"90.81",255
-1.4,0.1,0.25,"104.19",244
-1.4,0.1,0.3,"127.38",244
-1.4,0.2,0.1,"64.63",247
-1.4,0.2,0.15,"90.02",248
-1.4,0.2,0.2,"114.66",244
-1.4,0.2,0.25,"137.70",237
-1.4,0.2,0.3,"173.18",236
