"lb","ln","profit","deals"
-15,-14,"59.81",2
-15,-13.8,"59.81",2
-15,-13.6,"59.81",2
-15,-13.4,"59.81",2
-15,-13.2,"59.81",2
-15,-13,"59.81",2
-15,-12.8,"59.81",2
-15,-12.6,"59.81",2
-15,-12.4,"59.81",2
-15,-12.2,"59.81",2
-15,-12,"59.81",2
-15,-11.8,"59.81",2
-15,-11.6,"59.81",2
-15,-11.4,"59.81",2
-15,-11.2,"59.81",2
-15,-11,"59.81",2
-15,-10.8,"59.81",2
-15,-10.6,"59.81",2
-15,-10.4,"59.81",2
-15,-10.2,"59.81",2
-15,-10,"59.81",2
-15,-9.8,"59.81",2
-15,-9.6,"59.81",2
-15,-9.4,"59.81",2
-15,-9.2,"59.81",2
-15,-9,"68.93",2
-15,-8.8,"68.93",2
-15,-8.6,"68.93",2
-15,-8.4,"68.93",2
-15,-8.2,"68.93",2
-15,-8,"68.93",2
-15,-7.8,"68.93",2
-15,-7.6,"68.93",2
-15,-7.4,"68.93",2
-15,-7.2,"68.93",2
-15,-7,"68.93",2
-15,-6.8,"68.93",2
-15,-6.6,"68.93",2
-15,-6.4,"68.93",2
-15,-6.2,"68.93",2
-15,-6,"68.93",2
-15,-5.8,"68.93",2
-15,-5.6,"68.93",2
-15,-5.4,"68.93",2
-15,-5.2,"68.93",2
-15,-5,"68.93",2
-14.8,-13.8,"59.81",2
-14.8,-13.6,"59.81",2
-14.8,-13.4,"59.81",2
-14.8,-13.2,"59.81",2
-14.8,-13,"59.81",2
-14.8,-12.8,"59.81",2
-14.8,-12.6,"59.81",2
-14.8,-12.4,"59.81",2
-14.8,-12.2,"59.81",2
-14.8,-12,"59.81",2
-14.8,-11.8,"59.81",2
-14.8,-11.6,"59.81",2
-14.8,-11.4,"59.81",2
-14.8,-11.2,"59.81",2
-14.8,-11,"59.81",2
-14.8,-10.8,"59.81",2
-14.8,-10.6,"59.81",2
-14.8,-10.4,"59.81",2
-14.8,-10.2,"59.81",2
-14.8,-10,"59.81",2
-14.8,-9.8,"59.81",2
-14.8,-9.6,"59.81",2
-14.8,-9.4,"59.81",2
-14.8,-9.2,"59.81",2
-14.8,-9,"68.93",2
-14.8,-8.8,"68.93",2
-14.8,-8.6,"68.93",2
-14.8,-8.4,"68.93",2
-14.8,-8.2,"68.93",2
-14.8,-8,"68.93",2
-14.8,-7.8,"68.93",2
-14.8,-7.6,"68.93",2
-14.8,-7.4,"68.93",2
-14.8,-7.2,"68.93",2
-14.8,-7,"68.93",2
-14.8,-6.8,"68.93",2
-14.8,-6.6,"68.93",2
-14.8,-6.4,"68.93",2
-14.8,-6.2,"68.93",2
-14.8,-6,"68.93",2
-14.8,-5.8,"68.93",2
-14.8,-5.6,"68.93",2
-14.8,-5.4,"68.93",2
-14.8,-5.2,"68.93",2
-14.8,-5,"68.93",2
-14.8,-4.8,"68.93",2
-14.6,-13.6,"59.81",2
-14.6,-13.4,"59.81",2
-14.6,-13.2,"59.81",2
-14.6,-13,"59.81",2
-14.6,-12.8,"59.81",2
-14.6,-12.6,"59.81",2
-14.6,-12.4,"59.81",2
-14.6,-12.2,"59.81",2
-14.6,-12,"59.81",2
-14.6,-11.8,"59.81",2
-14.6,-11.6,"59.81",2
-14.6,-11.4,"59.81",2
-14.6,-11.2,"59.81",2
-14.6,-11,"59.81",2
-14.6,-10.8,"59.81",2
-14.6,-10.6,"59.81",2
-14.6,-10.4,"59.81",2
-14.6,-10.2,"59.81",2
-14.6,-10,"59.81",2
-14.6,-9.8,"59.81",2
-14.6,-9.6,"59.81",2
-14.6,-9.4,"59.81",2
-14.6,-9.2,"59.81",2
-14.6,-9,"68.93",2
-14.6,-8.8,"68.93",2
-14.6,-8.6,"68.93",2
-14.6,-8.4,"68.93",2
-14.6,-8.2,"68.93",2
-14.6,-8,"68.93",2
-14.6,-7.8,"68.93",2
-14.6,-7.6,"68.93",2
-14.6,-7.4,"68.93",2
-14.6,-7.2,"68.93",2
-14.6,-7,"68.93",2
-14.6,-6.8,"68.93",2
-14.6,-6.6,"68.93",2
-14.6,-6.4,"68.93",2
-14.6,-6.2,"68.93",2
-14.6,-6,"68.93",2
-14.6,-5.8,"68.93",2
-14.6,-5.6,"68.93",2
-14.6,-5.4,"68.93",2
-14.6,-5.2,"68.93",2
-14.6,-5,"68.93",2
-14.6,-4.8,"68.93",2
-14.6,-4.6,"68.93",2
-14.4,-13.4,"59.81",2
-14.4,-13.2,"59.81",2
-14.4,-13,"59.81",2
-14.4,-12.8,"59.81",2
-14.4,-12.6,"59.81",2
-14.4,-12.4,"59.81",2
-14.4,-12.2,"59.81",2
-14.4,-12,"59.81",2
-14.4,-11.8,"59.81",2
-14.4,-11.6,"59.81",2
-14.4,-11.4,"59.81",2
-14.4,-11.2,"59.81",2
-14.4,-11,"59.81",2
-14.4,-10.8,"59.81",2
-14.4,-10.6,"59.81",2
-14.4,-10.4,"59.81",2
-14.4,-10.2,"59.81",2
-14.4,-10,"59.81",2
-14.4,-9.8,"59.81",2
-14.4,-9.6,"59.81",2
-14.4,-9.4,"59.81",2
-14.4,-9.2,"59.81",2
-14.4,-9,"68.93",2
-14.4,-8.8,"68.93",2
-14.4,-8.6,"68.93",2
-14.4,-8.4,"68.93",2
-14.4,-8.2,"68.93",2
-14.4,-8,"68.93",2
-14.4,-7.8,"68.93",2
-14.4,-7.6,"68.93",2
-14.4,-7.4,"68.93",2
-14.4,-7.2,"68.93",2
-14.4,-7,"68.93",2
-14.4,-6.8,"68.93",2
-14.4,-6.6,"68.93",2
-14.4,-6.4,"68.93",2
-14.4,-6.2,"68.93",2
-14.4,-6,"68.93",2
-14.4,-5.8,"68.93",2
-14.4,-5.6,"68.93",2
-14.4,-5.4,"68.93",2
-14.4,-5.2,"68.93",2
-14.4,-5,"68.93",2
-14.4,-4.8,"68.93",2
-14.4,-4.6,"68.93",2
-14.4,-4.4,"68.93",2
-14.2,-13.2,"59.81",2
-14.2,-13,"59.81",2
-14.2,-12.8,"59.81",2
-14.2,-12.6,"59.81",2
-14.2,-12.4,"59.81",2
-14.2,-12.2,"59.81",2
-14.2,-12,"59.81",2
-14.2,-11.8,"59.81",2
-14.2,-11.6,"59.81",2
-14.2,-11.4,"59.81",2
-14.2,-11.2,"59.81",2
-14.2,-11,"59.81",2
-14.2,-10.8,"59.81",2
-14.2,-10.6,"59.81",2
-14.2,-10.4,"59.81",2
-14.2,-10.2,"59.81",2
-14.2,-10,"59.81",2
-14.2,-9.8,"59.81",2
-14.2,-9.6,"59.81",2
-14.2,-9.4,"59.81",2
-14.2,-9.2,"59.81",2
-14.2,-9,"68.93",2
-14.2,-8.8,"68.93",2
-14.2,-8.6,"68.93",2
-14.2,-8.4,"68.93",2
-14.2,-8.2,"68.93",2
-14.2,-8,"68.93",2
-14.2,-7.8,"68.93",2
-14.2,-7.6,"68.93",2
-14.2,-7.4,"68.93",2
-14.2,-7.2,"68.93",2
-14.2,-7,"68.93",2
-14.2,-6.8,"68.93",2
-14.2,-6.6,"68.93",2
-14.2,-6.4,"68.93",2
-14.2,-6.2,"68.93",2
-14.2,-6,"68.93",2
-14.2,-5.8,"68.93",2
-14.2,-5.6,"68.93",2
-14.2,-5.4,"68.93",2
-14.2,-5.2,"68.93",2
-14.2,-5,"68.93",2
-14.2,-4.8,"68.93",2
-14.2,-4.6,"68.93",2
-14.2,-4.4,"68.93",2
-14.2,-4.2,"70.98",2
-14,-13,"59.81",2
-14,-12.8,"59.81",2
-14,-12.6,"59.81",2
-14,-12.4,"59.81",2
-14,-12.2,"59.81",2
-14,-12,"59.81",2
-14,-11.8,"59.81",2
-14,-11.6,"59.81",2
-14,-11.4,"59.81",2
-14,-11.2,"59.81",2
-14,-11,"59.81",2
-14,-10.8,"59.81",2
-14,-10.6,"59.81",2
-14,-10.4,"59.81",2
-14,-10.2,"59.81",2
-14,-10,"59.81",2
-14,-9.8,"59.81",2
-14,-9.6,"59.81",2
-14,-9.4,"59.81",2
-14,-9.2,"59.81",2
-14,-9,"68.93",2
-14,-8.8,"68.93",2
-14,-8.6,"68.93",2
-14,-8.4,"68.93",2
-14,-8.2,"68.93",2
-14,-8,"68.93",2
-14,-7.8,"68.93",2
-14,-7.6,"68.93",2
-14,-7.4,"68.93",2
-14,-7.2,"68.93",2
-14,-7,"68.93",2
-14,-6.8,"68.93",2
-14,-6.6,"68.93",2
-14,-6.4,"68.93",2
-14,-6.2,"68.93",2
-14,-6,"68.93",2
-14,-5.8,"68.93",2
-14,-5.6,"68.93",2
-14,-5.4,"68.93",2
-14,-5.2,"68.93",2
-14,-5,"68.93",2
-14,-4.8,"68.93",2
-14,-4.6,"68.93",2
-14,-4.4,"68.93",2
-14,-4.2,"70.98",2
-14,-4,"70.98",2
-13.8,-12.8,"59.81",2
-13.8,-12.6,"59.81",2
-13.8,-12.4,"59.81",2
-13.8,-12.2,"59.81",2
-13.8,-12,"59.81",2
-13.8,-11.8,"59.81",2
-13.8,-11.6,"59.81",2
-13.8,-11.4,"59.81",2
-13.8,-11.2,"59.81",2
-13.8,-11,"59.81",2
-13.8,-10.8,"59.81",2
-13.8,-10.6,"59.81",2
-13.8,-10.4,"59.81",2
-13.8,-10.2,"59.81",2
-13.8,-10,"59.81",2
-13.8,-9.8,"59.81",2
-13.8,-9.6,"59.81",2
-13.8,-9.4,"59.81",2
-13.8,-9.2,"59.81",2
-13.8,-9,"68.93",2
-13.8,-8.8,"68.93",2
-13.8,-8.6,"68.93",2
-13.8,-8.4,"68.93",2
-13.8,-8.2,"68.93",2
-13.8,-8,"68.93",2
-13.8,-7.8,"68.93",2
-13.8,-7.6,"68.93",2
-13.8,-7.4,"68.93",2
-13.8,-7.2,"68.93",2
-13.8,-7,"68.93",2
-13.8,-6.8,"68.93",2
-13.8,-6.6,"68.93",2
-13.8,-6.4,"68.93",2
-13.8,-6.2,"68.93",2
-13.8,-6,"68.93",2
-13.8,-5.8,"68.93",2
-13.8,-5.6,"68.93",2
-13.8,-5.4,"68.93",2
-13.8,-5.2,"68.93",2
-13.8,-5,"68.93",2
-13.8,-4.8,"68.93",2
-13.8,-4.6,"68.93",2
-13.8,-4.4,"68.93",2
-13.8,-4.2,"70.98",2
-13.8,-4,"70.98",2
-13.8,-3.8,"70.98",2
-13.6,-12.6,"59.81",2
-13.6,-12.4,"59.81",2
-13.6,-12.2,"59.81",2
-13.6,-12,"59.81",2
-13.6,-11.8,"59.81",2
-13.6,-11.6,"59.81",2
-13.6,-11.4,"59.81",2
