"cond_open","cond_close","trail_range","profit","deals"
-2,0.1,0.1,"627.54",63
-2,0.1,0.2,"556.49",59
-2,0.1,0.3,"503.16",54
-2,0.1,0.4,"355.92",52
-2,0.1,0.5,"288.23",47
-2,0.1,0.6,"293.05",44
-2,0.1,0.7,"294.24",44
-2,0.1,0.8,"295.16",43
-2,0.1,0.9,"191.62",42
-2,0.1,1,"173.09",39
-2,0.2,0.1,"624.88",62
-2,0.2,0.2,"555.01",58
-2,0.2,0.3,"504.14",54
-2,0.2,0.4,"360.50",52
-2,0.2,0.5,"292.13",47
-2,0.2,0.6,"293.05",44
-2,0.2,0.7,"294.72",44
-2,0.2,0.8,"297.25",43
-2,0.2,0.9,"191.87",41
-2,0.2,1,"175.69",39
-2,0.3,0.1,"633.06",62
-2,0.3,0.2,"561.47",58
-2,0.3,0.3,"506.08",54
-2,0.3,0.4,"360.50",52
-2,0.3,0.5,"293.77",47
-2,0.3,0.6,"293.99",44
-2,0.3,0.7,"296.50",44
-2,0.3,0.8,"297.07",42
-2,0.3,0.9,"194.78",41
-2,0.3,1,"175.69",39
-2,0.4,0.1,"635.58",62
-2,0.4,0.2,"562.60",58
-2,0.4,0.3,"513.69",54
-2,0.4,0.4,"361.58",52
-2,0.4,0.5,"294.23",47
-2,0.4,0.6,"294.47",44
-2,0.4,0.7,"296.32",43
-2,0.4,0.8,"300.85",42
-2,0.4,0.9,"194.78",41
-2,0.4,1,"175.69",39
-2,0.5,0.1,"639.25",62
-2,0.5,0.2,"567.99",58
-2,0.5,0.3,"515.09",54
-2,0.5,0.4,"362.12",52
-2,0.5,0.5,"294.69",47
-2,0.5,0.6,"197.67",43
-2,0.5,0.7,"201.81",43
-2,0.5,0.8,"202.66",42
-2,0.5,0.9,"194.78",41
-2,0.5,1,"175.69",39
-2,0.6,0.1,"642.43",60
-2,0.6,0.2,"571.21",58
-2,0.6,0.3,"516.87",54
-2,0.6,0.4,"362.87",52
-2,0.6,0.5,"295.15",46
-2,0.6,0.6,"201.67",43
-2,0.6,0.7,"203.21",43
-2,0.6,0.8,"202.66",42
-2,0.6,0.9,"194.78",41
-2,0.6,1,"175.69",39
-2,0.7,0.1,"635.63",59
-2,0.7,0.2,"562.50",57
-2,0.7,0.3,"518.82",53
-2,0.7,0.4,"249.91",51
-2,0.7,0.5,"201.44",46
-2,0.7,0.6,"203.29",43
-2,0.7,0.7,"203.21",43
-2,0.7,0.8,"202.66",42
-2,0.7,0.9,"194.78",41
-2,0.7,1,"175.69",39
-2,0.8,0.1,"646.62",59
-2,0.8,0.2,"566.97",56
-2,0.8,0.3,"533.65",53
-2,0.8,0.4,"257.29",51
-2,0.8,0.5,"204.29",46
-2,0.8,0.6,"206.16",43
-2,0.8,0.7,"205.43",43
-2,0.8,0.8,"204.99",42
-2,0.8,0.9,"195.81",41
-2,0.8,1,"176.71",39
-2,0.9,0.1,"464.79",59
-2,0.9,0.2,"401.78",56
-2,0.9,0.3,"381.38",53
-2,0.9,0.4,"258.58",51
-2,0.9,0.5,"205.53",46
-2,0.9,0.6,"206.31",43
-2,0.9,0.7,"205.43",43
-2,0.9,0.8,"204.99",42
-2,0.9,0.9,"195.81",41
-2,0.9,1,"177.00",39
-2,1,0.1,"448.04",57
-2,1,0.2,"395.44",55
-2,1,0.3,"370.58",52
-2,1,0.4,"253.04",50
-2,1,0.5,"205.28",45
-2,1,0.6,"208.64",43
