"se","sc","scal","profit","deals"
0.1,0.1,1.1,"2393.46",324
0.1,0.1,1.15,"2314.25",324
0.1,0.1,1.2,"2314.25",324
0.1,0.1,1.25,"1573.94",324
0.1,0.1,1.3,"1573.94",324
0.1,0.1,1.35,"1573.94",324
0.1,0.1,1.4,"1566.94",324
0.1,0.1,1.45,"1684.33",324
0.1,0.1,1.5,"1684.33",324
0.1,0.1,1.55,"1684.33",324
0.1,0.1,1.6,"1684.33",324
0.1,0.1,1.65,"1705.81",324
0.1,0.1,1.7,"1705.81",324
0.1,0.1,1.75,"1625.09",324
0.1,0.1,1.8,"1625.09",324
0.1,0.1,1.85,"1625.09",324
0.1,0.1,1.9,"1625.09",324
0.1,0.1,1.95,"1625.09",324
0.1,0.1,2,"1614.56",324
0.1,0.15,1.1,"198.92",324
0.1,0.15,1.15,"205.64",324
0.1,0.15,1.2,"205.64",324
0.1,0.15,1.25,"194.38",324
0.1,0.15,1.3,"194.38",324
0.1,0.15,1.35,"194.38",324
0.1,0.15,1.4,"191.21",324
0.1,0.15,1.45,"111.20",324
0.1,0.15,1.5,"111.20",324
0.1,0.15,1.55,"111.20",324
0.1,0.15,1.6,"111.20",324
0.1,0.15,1.65,"115.03",324
0.1,0.15,1.7,"115.03",324
0.1,0.15,1.75,"118.07",324
0.1,0.15,1.8,"118.07",324
0.1,0.15,1.85,"118.07",324
0.1,0.15,1.9,"118.07",324
0.1,0.15,1.95,"118.07",324
0.1,0.15,2,"120.73",324
0.1,0.2,1.1,"218.82",324
0.1,0.2,1.15,"216.90",324
0.1,0.2,1.2,"216.90",324
0.1,0.2,1.25,"207.32",324
0.1,0.2,1.3,"207.32",324
0.1,0.2,1.35,"207.32",324
0.1,0.2,1.4,"203.56",324
0.1,0.2,1.45,"168.35",324
0.1,0.2,1.5,"168.35",324
0.1,0.2,1.55,"168.35",324
0.1,0.2,1.6,"168.35",324
0.1,0.2,1.65,"174.89",324
0.1,0.2,1.7,"174.89",324
0.1,0.2,1.75,"170.50",324
0.1,0.2,1.8,"170.50",324
