"hb","hn","profit","deals"
-5,-10,"61.28",2
-5,-9.8,"61.28",2
-5,-9.6,"61.28",2
-5,-9.4,"53.60",3
-5,-9.2,"53.60",3
-5,-9,"53.60",3
-5,-8.8,"53.60",3
-5,-8.6,"53.60",3
-5,-8.4,"53.60",3
-5,-8.2,"53.60",3
-5,-8,"53.60",3
-5,-7.8,"53.60",3
-5,-7.6,"53.60",3
-5,-7.4,"53.60",3
-5,-7.2,"53.60",3
-5,-7,"53.60",3
-5,-6.8,"53.60",3
-5,-6.6,"53.60",3
-5,-6.4,"53.60",3
-5,-6.2,"53.60",3
-5,-6,"53.60",3
-5,-5.8,"23.42",4
-5,-5.6,"23.42",4
-4.8,-9.8,"61.28",2
-4.8,-9.6,"61.28",2
-4.8,-9.4,"53.60",3
-4.8,-9.2,"53.60",3
-4.8,-9,"53.60",3
-4.8,-8.8,"53.60",3
-4.8,-8.6,"53.60",3
-4.8,-8.4,"53.60",3
-4.8,-8.2,"53.60",3
-4.8,-8,"53.60",3
-4.8,-7.8,"53.60",3
-4.8,-7.6,"53.60",3
-4.8,-7.4,"53.60",3
-4.8,-7.2,"53.60",3
-4.8,-7,"53.60",3
-4.8,-6.8,"53.60",3
-4.8,-6.6,"53.60",3
-4.8,-6.4,"53.60",3
-4.8,-6.2,"53.60",3
-4.8,-6,"53.60",3
-4.8,-5.8,"23.42",4
-4.8,-5.6,"23.42",4
-4.8,-5.4,"23.61",5
-4.6,-9.6,"61.28",2
-4.6,-9.4,"53.60",3
-4.6,-9.2,"53.60",3
-4.6,-9,"53.60",3
-4.6,-8.8,"53.60",3
-4.6,-8.6,"53.60",3
-4.6,-8.4,"53.60",3
-4.6,-8.2,"53.60",3
-4.6,-8,"53.60",3
-4.6,-7.8,"53.60",3
-4.6,-7.6,"53.60",3
-4.6,-7.4,"53.60",3
-4.6,-7.2,"53.60",3
-4.6,-7,"53.60",3
-4.6,-6.8,"53.60",3
-4.6,-6.6,"53.60",3
-4.6,-6.4,"53.60",3
-4.6,-6.2,"53.60",3
-4.6,-6,"53.60",3
-4.6,-5.8,"23.42",4
-4.6,-5.6,"23.42",4
-4.6,-5.4,"23.61",5
-4.6,-5.2,"23.61",5
-4.4,-9.4,"53.60",3
-4.4,-9.2,"53.60",3
-4.4,-9,"53.60",3
-4.4,-8.8,"53.60",3
-4.4,-8.6,"53.60",3
-4.4,-8.4,"53.60",3
-4.4,-8.2,"53.60",3
-4.4,-8,"53.60",3
-4.4,-7.8,"53.60",3
-4.4,-7.6,"53.60",3
-4.4,-7.4,"53.60",3
-4.4,-7.2,"53.60",3
-4.4,-7,"53.60",3
-4.4,-6.8,"53.60",3
-4.4,-6.6,"53.60",3
-4.4,-6.4,"53.60",3
-4.4,-6.2,"53.60",3
-4.4,-6,"53.60",3
-4.4,-5.8,"23.42",4
-4.4,-5.6,"23.42",4
-4.4,-5.4,"23.64",5
-4.4,-5.2,"23.64",5
-4.4,-5,"23.64",5
-4.2,-9.2,"53.60",3
-4.2,-9,"53.60",3
-4.2,-8.8,"53.60",3
-4.2,-8.6,"53.60",3
-4.2,-8.4,"53.60",3
-4.2,-8.2,"53.60",3
-4.2,-8,"53.60",3
-4.2,-7.8,"53.60",3
-4.2,-7.6,"53.60",3
-4.2,-7.4,"53.60",3
-4.2,-7.2,"53.60",3
-4.2,-7,"53.60",3
-4.2,-6.8,"53.60",3
-4.2,-6.6,"53.60",3
-4.2,-6.4,"53.60",3
-4.2,-6.2,"53.60",3
-4.2,-6,"53.60",3
-4.2,-5.8,"23.96",4
-4.2,-5.6,"23.96",4
-4.2,-5.4,"24.18",5
-4.2,-5.2,"24.18",5
-4.2,-5,"24.18",5
-4.2,-4.8,"53.51",8
-4,-9,"53.64",3
-4,-8.8,"53.64",3
-4,-8.6,"53.64",3
-4,-8.4,"53.64",3
-4,-8.2,"53.64",3
-4,-8,"53.64",3
-4,-7.8,"53.64",3
-4,-7.6,"53.64",3
-4,-7.4,"53.64",3
-4,-7.2,"53.64",3
-4,-7,"53.64",3
-4,-6.8,"53.64",3
-4,-6.6,"53.64",3
-4,-6.4,"53.64",3
-4,-6.2,"53.64",3
-4,-6,"53.64",3
-4,-5.8,"23.99",4
-4,-5.6,"23.99",4
-4,-5.4,"23.99",4
-4,-5.2,"23.99",4
-4,-5,"23.99",4
-4,-4.8,"48.96",6
-4,-4.6,"56.62",8
-3.8,-8.8,"53.64",3
-3.8,-8.6,"53.64",3
-3.8,-8.4,"53.64",3
-3.8,-8.2,"53.64",3
-3.8,-8,"53.64",3
-3.8,-7.8,"53.64",3
-3.8,-7.6,"53.64",3
-3.8,-7.4,"53.64",3
-3.8,-7.2,"53.64",3
-3.8,-7,"53.64",3
-3.8,-6.8,"53.64",3
-3.8,-6.6,"53.64",3
-3.8,-6.4,"53.64",3
-3.8,-6.2,"53.64",3
-3.8,-6,"53.64",3
-3.8,-5.8,"23.99",4
-3.8,-5.6,"23.99",4
-3.8,-5.4,"23.99",4
-3.8,-5.2,"23.99",4
-3.8,-5,"23.99",4
-3.8,-4.8,"48.96",6
-3.8,-4.6,"56.62",8
-3.8,-4.4,"48.17",9
-3.6,-8.6,"53.64",3
-3.6,-8.4,"53.64",3
-3.6,-8.2,"53.64",3
-3.6,-8,"53.64",3
-3.6,-7.8,"53.64",3
-3.6,-7.6,"53.64",3
-3.6,-7.4,"53.64",3
-3.6,-7.2,"53.64",3
-3.6,-7,"53.64",3
-3.6,-6.8,"53.64",3
-3.6,-6.6,"53.64",3
-3.6,-6.4,"53.64",3
-3.6,-6.2,"53.64",3
-3.6,-6,"53.64",3
-3.6,-5.8,"36.63",4
-3.6,-5.6,"36.63",4
-3.6,-5.4,"36.63",4
-3.6,-5.2,"36.63",4
-3.6,-5,"36.63",4
-3.6,-4.8,"58.17",7
-3.6,-4.6,"61.57",8
-3.6,-4.4,"52.86",9
-3.6,-4.2,"67.22",13
-3.4,-8.4,"57.58",3
-3.4,-8.2,"57.58",3
-3.4,-8,"57.58",3
-3.4,-7.8,"57.58",3
-3.4,-7.6,"57.58",3
-3.4,-7.4,"57.58",3
-3.4,-7.2,"57.58",3
-3.4,-7,"57.58",3
-3.4,-6.8,"57.58",3
-3.4,-6.6,"57.58",3
-3.4,-6.4,"57.58",3
