"lb","ln","profit","deals"
-5,-4.5,"9.75",4
-5,-4.3,"9.91",4
-5,-4.1,"11.87",3
-5,-3.9,"11.87",3
-5,-3.7,"12.72",3
-5,-3.5,"12.72",3
-5,-3.3,"13.03",3
-5,-3.1,"13.03",3
-5,-2.9,"13.03",3
-5,-2.7,"13.03",3
-5,-2.5,"13.03",3
-5,-2.3,"13.03",3
-5,-2.1,"13.27",3
-5,-1.9,"13.27",3
-5,-1.7,"13.27",3
-5,-1.5,"13.78",3
-5,-1.3,"13.78",3
-5,-1.1,"14.10",3
-5,-0.9,"14.10",3
-5,-0.7,"14.10",3
-5,-0.5,"15.82",3
-5,-0.3,"15.54",3
-5,-0.0999999999999996,"15.54",3
-4.8,-4.3,"11.25",6
-4.8,-4.1,"13.25",5
-4.8,-3.9,"13.25",5
-4.8,-3.7,"14.10",5
-4.8,-3.5,"14.10",5
-4.8,-3.3,"14.42",5
-4.8,-3.1,"14.42",5
-4.8,-2.9,"14.42",5
-4.8,-2.7,"14.42",5
-4.8,-2.5,"14.42",5
-4.8,-2.3,"14.42",5
-4.8,-2.1,"14.66",5
-4.8,-1.9,"14.66",5
-4.8,-1.7,"14.66",5
-4.8,-1.5,"15.40",5
-4.8,-1.3,"15.40",5
-4.8,-1.1,"15.72",5
-4.8,-0.899999999999999,"15.72",5
-4.8,-0.7,"15.72",5
-4.8,-0.5,"17.74",5
-4.8,-0.3,"16.43",4
-4.8,-0.0999999999999996,"16.43",4
-4.8,0.100000000000001,"16.55",4
-4.6,-4.1,"16.05",7
-4.6,-3.9,"16.05",7
-4.6,-3.7,"16.93",7
-4.6,-3.5,"16.93",7
-4.6,-3.3,"17.25",7
-4.6,-3.1,"17.25",7
-4.6,-2.9,"17.25",7
-4.6,-2.7,"17.25",7
-4.6,-2.5,"17.25",7
-4.6,-2.3,"17.25",7
-4.6,-2.1,"17.50",7
-4.6,-1.9,"17.50",7
-4.6,-1.7,"17.50",7
-4.6,-1.5,"18.26",7
-4.6,-1.3,"18.51",7
-4.6,-1.1,"18.84",7
-4.6,-0.899999999999999,"18.84",7
-4.6,-0.699999999999999,"18.84",7
-4.6,-0.5,"20.91",7
-4.6,-0.299999999999999,"19.57",6
-4.6,-0.0999999999999996,"19.80",6
-4.6,0.100000000000001,"19.93",6
-4.6,0.300000000000001,"22.68",6
-4.4,-3.9,"16.74",8
-4.4,-3.7,"17.62",8
-4.4,-3.5,"17.62",8
-4.4,-3.3,"17.95",8
-4.4,-3.1,"17.95",8
-4.4,-2.9,"17.95",8
-4.4,-2.7,"17.95",8
-4.4,-2.5,"17.95",8
-4.4,-2.3,"17.95",8
-4.4,-2.1,"17.95",8
-4.4,-1.9,"18.19",8
-4.4,-1.7,"18.19",8
-4.4,-1.5,"18.96",8
-4.4,-1.3,"19.21",8
-4.4,-1.1,"19.54",8
-4.4,-0.9,"19.54",8
-4.4,-0.7,"19.54",8
-4.4,-0.5,"21.63",8
-4.4,-0.3,"20.49",7
-4.4,-0.1,"20.73",7
-4.4,0.0999999999999996,"20.86",7
-4.4,0.3,"23.64",7
-4.4,0.5,"22.70",6
-4.2,-3.7,"10.87",12
