"se","sc","scal","profit","deals"
0.1,0.1,1.1,"256.65",107
0.1,0.1,1.15,"256.40",107
0.1,0.1,1.2,"258.21",107
0.1,0.1,1.25,"256.53",107
0.1,0.1,1.3,"253.67",107
0.1,0.1,1.35,"251.75",107
0.1,0.1,1.4,"248.96",107
0.1,0.1,1.45,"246.87",107
0.1,0.1,1.5,"246.83",107
0.1,0.1,1.55,"223.36",107
0.1,0.1,1.6,"223.61",107
0.1,0.1,1.65,"222.73",107
0.1,0.1,1.7,"222.73",107
0.1,0.1,1.75,"222.73",107
0.1,0.1,1.8,"220.91",107
0.1,0.1,1.85,"222.03",107
0.1,0.1,1.9,"222.03",107
0.1,0.1,1.95,"222.03",107
0.1,0.1,2,"221.11",107
0.1,0.15,1.1,"165.39",107
0.1,0.15,1.15,"165.09",107
0.1,0.15,1.2,"82.38",107
0.1,0.15,1.25,"81.10",107
0.1,0.15,1.3,"79.16",107
0.1,0.15,1.35,"77.70",107
0.1,0.15,1.4,"75.59",107
0.1,0.15,1.45,"74.02",107
0.1,0.15,1.5,"73.97",107
0.1,0.15,1.55,"84.53",107
0.1,0.15,1.6,"84.75",107
0.1,0.15,1.65,"84.00",107
0.1,0.15,1.7,"84.00",107
0.1,0.15,1.75,"84.00",107
0.1,0.15,1.8,"82.45",107
0.1,0.15,1.85,"83.41",107
0.1,0.15,1.9,"83.41",107
0.1,0.15,1.95,"83.41",107
0.1,0.15,2,"82.62",107
0.1,0.2,1.1,"163.30",107
0.1,0.2,1.15,"162.88",107
0.1,0.2,1.2,"145.97",107
0.1,0.2,1.25,"143.66",107
0.1,0.2,1.3,"140.59",107
0.1,0.2,1.35,"137.99",107
0.1,0.2,1.4,"134.23",107
0.1,0.2,1.45,"131.45",107
0.1,0.2,1.5,"131.36",107
0.1,0.2,1.55,"136.23",107
0.1,0.2,1.6,"136.63",107
0.1,0.2,1.65,"135.36",107
0.1,0.2,1.7,"135.36",107
0.1,0.2,1.75,"135.36",107
0.1,0.2,1.8,"132.71",107
0.1,0.2,1.85,"134.33",107
0.1,0.2,1.9,"134.33",107
0.1,0.2,1.95,"134.33",107
0.1,0.2,2,"132.99",107
0.1,0.25,1.1,"205.24",107
0.1,0.25,1.15,"204.63",107
0.1,0.25,1.2,"186.34",107
0.1,0.25,1.25,"182.99",107
0.1,0.25,1.3,"179.13",107
0.1,0.25,1.35,"175.37",107
0.1,0.25,1.4,"169.94",107
0.1,0.25,1.45,"165.95",107
0.1,0.25,1.5,"165.83",107
0.1,0.25,1.55,"167.17",107
0.1,0.25,1.6,"167.74",107
0.1,0.25,1.65,"165.94",107
0.1,0.25,1.7,"165.94",107
0.1,0.25,1.75,"165.94",107
0.1,0.25,1.8,"162.22",107
0.1,0.25,1.85,"164.50",107
0.1,0.25,1.9,"164.50",107
0.1,0.25,1.95,"164.50",107
0.1,0.25,2,"162.61",107
0.1,0.3,1.1,"248.46",107
0.1,0.3,1.15,"247.61",107
0.1,0.3,1.2,"225.61",107
0.1,0.3,1.25,"221.05",107
0.1,0.3,1.3,"216.60",107
0.1,0.3,1.35,"211.48",107
0.1,0.3,1.4,"204.14",107
0.1,0.3,1.45,"198.76",107
0.1,0.3,1.5,"198.59",107
0.1,0.3,1.55,"195.11",107
0.1,0.3,1.6,"195.88",107
0.1,0.3,1.65,"193.48",107
0.1,0.3,1.7,"193.48",107
0.1,0.3,1.75,"193.48",107
0.1,0.3,1.8,"188.54",107
0.1,0.3,1.85,"191.55",107
0.1,0.3,1.9,"191.55",107
0.1,0.3,1.95,"191.55",107
0.1,0.3,2,"189.05",107
0.1,0.35,1.1,"296.62",107
0.1,0.35,1.15,"295.48",107
0.1,0.35,1.2,"268.45",107
0.1,0.35,1.25,"262.44",107
0.1,0.35,1.3,"257.27",107
0.1,0.35,1.35,"250.55",107
0.1,0.35,1.4,"240.94",107
0.1,0.35,1.45,"233.93",107
0.1,0.35,1.5,"233.71",107
0.1,0.35,1.55,"225.89",107
0.1,0.35,1.6,"226.89",107
0.1,0.35,1.65,"223.82",107
0.1,0.35,1.7,"223.82",107
0.1,0.35,1.75,"223.82",107
0.1,0.35,1.8,"217.49",107
0.1,0.35,1.85,"221.36",107
0.1,0.35,1.9,"221.36",107
0.1,0.35,1.95,"221.36",107
0.1,0.35,2,"218.15",107
0.1,0.4,1.1,"351.40",107
0.1,0.4,1.15,"349.90",107
0.1,0.4,1.2,"316.50",107
0.1,0.4,1.25,"308.75",107
0.1,0.4,1.3,"302.09",107
0.1,0.4,1.35,"293.47",107
0.1,0.4,1.4,"281.19",107
0.1,0.4,1.45,"272.25",107
0.1,0.4,1.5,"271.97",107
0.1,0.4,1.55,"262.04",107
0.1,0.4,1.6,"263.32",107
0.1,0.4,1.65,"259.42",107
0.1,0.4,1.7,"259.42",107
0.1,0.4,1.75,"259.42",107
0.1,0.4,1.8,"251.41",107
0.1,0.4,1.85,"256.29",107
0.1,0.4,1.9,"256.29",107
0.1,0.4,1.95,"256.29",107
0.1,0.4,2,"252.23",107
0.1,0.45,1.1,"413.30",107
0.1,0.45,1.15,"411.37",107
0.1,0.45,1.2,"370.21",107
0.1,0.45,1.25,"360.40",107
0.1,0.45,1.3,"351.97",107
0.1,0.45,1.35,"341.09",107
0.1,0.45,1.4,"325.64",107
0.1,0.45,1.45,"314.46",107
0.1,0.45,1.5,"314.11",107
0.1,0.45,1.55,"301.70",107
0.1,0.45,1.6,"303.30",107
0.1,0.45,1.65,"298.44",107
0.1,0.45,1.7,"298.44",107
0.1,0.45,1.75,"298.44",107
0.1,0.45,1.8,"288.47",107
0.1,0.45,1.85,"294.53",107
0.1,0.45,1.9,"294.53",107
0.1,0.45,1.95,"294.53",107
0.1,0.45,2,"289.48",107
0.1,0.5,1.1,"483.23",107
0.1,0.5,1.15,"480.79",107
0.1,0.5,1.2,"430.32",107
0.1,0.5,1.25,"418.04",107
0.1,0.5,1.3,"407.52",107
0.1,0.5,1.35,"393.98",107
0.1,0.5,1.4,"374.81",107
0.1,0.5,1.45,"360.99",107
0.1,0.5,1.5,"360.56",107
0.1,0.5,1.55,"345.26",107
0.1,0.5,1.6,"347.25",107
0.1,0.5,1.65,"341.26",107
0.1,0.5,1.7,"341.26",107
0.1,0.5,1.75,"341.26",107
0.1,0.5,1.8,"329.02",107
0.1,0.5,1.85,"336.44",107
0.1,0.5,1.9,"336.44",107
0.1,0.5,1.95,"336.44",107
0.1,0.5,2,"330.24",107
0.1,0.55,1.1,"562.20",107
0.1,0.55,1.15,"559.14",107
0.1,0.55,1.2,"497.59",107
0.1,0.55,1.25,"482.40",107
0.1,0.55,1.3,"469.42",107
0.1,0.55,1.35,"452.73",107
0.1,0.55,1.4,"429.21",107
0.1,0.55,1.45,"412.32",107
0.1,0.55,1.5,"411.79",107
0.1,0.55,1.55,"393.14",107
0.1,0.55,1.6,"395.56",107
0.1,0.55,1.65,"388.28",107
0.1,0.55,1.7,"388.28",107
0.1,0.55,1.75,"388.28",107
0.1,0.55,1.8,"373.41",107
0.1,0.55,1.85,"382.40",107
0.1,0.55,1.9,"382.40",107
0.1,0.55,1.95,"382.40",107
0.1,0.55,2,"374.88",107
0.1,0.6,1.1,"651.35",107
0.1,0.6,1.15,"647.56",107
0.1,0.6,1.2,"572.88",107
0.1,0.6,1.25,"554.25",107
0.1,0.6,1.3,"538.36",107
0.1,0.6,1.35,"518.00",107
0.1,0.6,1.4,"489.40",107
0.1,0.6,1.45,"468.93",107
0.1,0.6,1.5,"468.29",107
0.1,0.6,1.55,"445.75",107
0.1,0.6,1.6,"448.69",107
0.1,0.6,1.65,"439.90",107
0.1,0.6,1.7,"439.90",107
0.1,0.6,1.75,"439.90",107
0.1,0.6,1.8,"422.01",107
0.1,0.6,1.85,"432.80",107
0.1,0.6,1.9,"432.80",107
0.1,0.6,1.95,"432.80",107
0.1,0.6,2,"423.75",107
0.1,0.65,1.1,"751.93",107
0.1,0.65,1.15,"747.26",107
0.1,0.65,1.2,"657.09",107
0.1,0.65,1.25,"634.43",107
0.1,0.65,1.3,"615.14",107
0.1,0.65,1.35,"590.48",107
0.1,0.65,1.4,"555.96",107
0.1,0.65,1.45,"531.36",107
0.1,0.65,1.5,"530.59",107
0.1,0.65,1.55,"503.57",107
0.1,0.65,1.6,"507.09",107
0.1,0.65,1.65,"496.57",107
0.1,0.65,1.7,"496.57",107
0.1,0.65,1.75,"496.57",107
0.1,0.65,1.8,"475.20",107
0.1,0.65,1.85,"488.06",107
0.1,0.65,1.9,"488.06",107
0.1,0.65,1.95,"488.06",107
0.1,0.65,2,"477.25",107
0.1,0.7,1.1,"865.35",107
0.1,0.7,1.15,"859.65",107
0.1,0.7,1.2,"751.27",107
0.1,0.7,1.25,"723.89",107
0.1,0.7,1.3,"700.61",107
0.1,0.7,1.35,"670.95",107
0.1,0.7,1.4,"629.56",107
0.1,0.7,1.45,"600.18",107
0.1,0.7,1.5,"599.27",107
0.1,0.7,1.55,"567.08",107
0.1,0.7,1.6,"571.28",107
0.1,0.7,1.65,"558.77",107
0.1,0.7,1.7,"558.77",107
0.1,0.7,1.75,"558.77",107
0.1,0.7,1.8,"533.40",107
0.1,0.7,1.85,"548.63",107
0.1,0.7,1.9,"548.63",107
0.1,0.7,1.95,"548.63",107
0.1,0.7,2,"535.81",107
0.1,0.75,1.1,"993.18",107
0.1,0.75,1.15,"986.26",107
0.1,0.75,1.2,"856.54",107
0.1,0.75,1.25,"823.64",107
0.1,0.75,1.3,"795.73",107
0.1,0.75,1.35,"760.24",107
0.1,0.75,1.4,"710.91",107
0.1,0.75,1.45,"676.03",107
0.1,0.75,1.5,"674.94",107
0.1,0.75,1.55,"636.82",107
0.1,0.75,1.6,"641.79",107
0.1,0.75,1.65,"627.00",107
0.1,0.75,1.7,"627.00",107
0.1,0.75,1.75,"627.00",107
0.1,0.75,1.8,"597.07",107
0.1,0.75,1.85,"615.00",107
0.1,0.75,1.9,"615.00",107
0.1,0.75,1.95,"615.00",107
