"cond_open","cond_close","stop_loss","profit","deals"
-2,0.1,-10,"181.45",86
-2,0.1,-20,"181.45",86
-2,0.1,-30,"181.45",86
-2,0.1,-40,"181.45",86
-2,0.2,-10,"189.49",86
-2,0.2,-20,"189.49",86
-2,0.2,-30,"189.49",86
-2,0.2,-40,"189.49",86
-2,0.3,-10,"190.53",85
-2,0.3,-20,"190.53",85
-2,0.3,-30,"190.53",85
-2,0.3,-40,"190.53",85
-2,0.4,-10,"192.70",83
-2,0.4,-20,"192.70",83
-2,0.4,-30,"192.70",83
-2,0.4,-40,"192.70",83
-2,0.5,-10,"205.01",83
-2,0.5,-20,"205.01",83
-2,0.5,-30,"205.01",83
-2,0.5,-40,"205.01",83
-2,0.6,-10,"202.81",80
-2,0.6,-20,"202.81",80
-2,0.6,-30,"202.81",80
-2,0.6,-40,"202.81",80
-2,0.7,-10,"86.55",80
-2,0.7,-20,"129.41",77
-2,0.7,-30,"107.30",77
-2,0.7,-40,"85.54",77
-2,0.8,-10,"90.39",80
-2,0.8,-20,"134.13",77
-2,0.8,-30,"111.56",77
-2,0.8,-40,"89.36",77
-2,0.9,-10,"91.95",79
-2,0.9,-20,"136.06",76
-2,0.9,-30,"113.30",76
-2,0.9,-40,"90.91",76
-2,1,-10,"91.37",74
-2,1,-20,"137.99",71
-2,1,-30,"115.05",71
-2,1,-40,"92.48",71
-2,1.1,-10,"136.01",71
-2,1.1,-20,"134.46",66
-2,1.1,-30,"111.86",66
-2,1.1,-40,"89.62",66
-2,1.2,-10,"138.79",71
-2,1.2,-20,"137.06",66
-2,1.2,-30,"114.21",66
-2,1.2,-40,"91.72",66
-2,1.3,-10,"146.98",70
-2,1.3,-20,"144.73",65
-2,1.3,-30,"121.14",65
-2,1.3,-40,"97.93",65
-2,1.4,-10,"118.40",62
-2,1.4,-20,"138.66",57
-2,1.4,-30,"113.73",56
-2,1.4,-40,"90.87",56
-2,1.5,-10,"95.11",58
-2,1.5,-20,"94.57",53
-2,1.5,-30,"57.34",52
-2,1.5,-40,"-17.01",11
-2,1.6,-10,"117.38",60
-2,1.6,-20,"117.92",55
-2,1.6,-30,"76.22",54
-2,1.6,-40,"-16.56",11
-2,1.7,-10,"124.74",57
-2,1.7,-20,"122.10",52
-2,1.7,-30,"79.21",51
-2,1.7,-40,"-15.34",11
-2,1.8,-10,"99.84",53
-2,1.8,-20,"114.88",48
-2,1.8,-30,"73.39",47
-2,1.8,-40,"-16.15",10
-2,1.9,-10,"96.09",50
-2,1.9,-20,"113.47",45
-2,1.9,-30,"72.25",44
-2,1.9,-40,"-15.69",10
-2,2,-10,"96.84",49
-2,2,-20,"114.29",44
-2,2,-30,"72.48",43
-2,2,-40,"-15.69",10
-1.9,0.1,-10,"186.08",88
-1.9,0.1,-20,"186.08",88
-1.9,0.1,-30,"186.08",88
-1.9,0.1,-40,"186.08",88
-1.9,0.2,-10,"194.82",87
-1.9,0.2,-20,"194.82",87
-1.9,0.2,-30,"194.82",87
-1.9,0.2,-40,"194.82",87
-1.9,0.3,-10,"194.86",86
-1.9,0.3,-20,"194.86",86
-1.9,0.3,-30,"194.86",86
-1.9,0.3,-40,"194.86",86
-1.9,0.4,-10,"198.45",84
-1.9,0.4,-20,"198.45",84
-1.9,0.4,-30,"198.45",84
-1.9,0.4,-40,"198.45",84
-1.9,0.5,-10,"212.17",84
-1.9,0.5,-20,"212.17",84
-1.9,0.5,-30,"212.17",84
-1.9,0.5,-40,"212.17",84
-1.9,0.6,-10,"210.97",82
-1.9,0.6,-20,"210.97",82
-1.9,0.6,-30,"210.97",82
-1.9,0.6,-40,"210.97",82
-1.9,0.7,-10,"134.77",82
-1.9,0.7,-20,"130.64",77
-1.9,0.7,-30,"108.40",77
-1.9,0.7,-40,"86.53",77
-1.9,0.8,-10,"139.31",82
-1.9,0.8,-20,"135.09",77
-1.9,0.8,-30,"112.43",77
-1.9,0.8,-40,"90.13",77
-1.9,0.9,-10,"141.27",81
-1.9,0.9,-20,"137.02",76
-1.9,0.9,-30,"114.18",76
-1.9,0.9,-40,"91.69",76
-1.9,1,-10,"143.04",74
-1.9,1,-20,"138.58",69
-1.9,1,-30,"115.59",69
-1.9,1,-40,"92.95",69
-1.9,1.1,-10,"144.60",70
-1.9,1.1,-20,"143.00",65
-1.9,1.1,-30,"119.57",65
-1.9,1.1,-40,"96.52",65
-1.9,1.2,-10,"147.49",70
-1.9,1.2,-20,"145.70",65
-1.9,1.2,-30,"122.01",65
-1.9,1.2,-40,"98.71",65
-1.9,1.3,-10,"155.07",70
-1.9,1.3,-20,"152.75",65
-1.9,1.3,-30,"128.39",65
-1.9,1.3,-40,"104.41",65
-1.9,1.4,-10,"128.28",63
-1.9,1.4,-20,"149.47",58
-1.9,1.4,-30,"123.41",57
-1.9,1.4,-40,"99.51",57
-1.9,1.5,-10,"104.14",59
-1.9,1.5,-20,"103.57",54
-1.9,1.5,-30,"64.62",53
-1.9,1.5,-40,"-16.10",12
-1.9,1.6,-10,"128.13",61
-1.9,1.6,-20,"128.69",56
-1.9,1.6,-30,"84.94",55
-1.9,1.6,-40,"-15.38",12
-1.9,1.7,-10,"135.85",58
-1.9,1.7,-20,"133.08",53
-1.9,1.7,-30,"88.07",52
-1.9,1.7,-40,"-14.16",12
-1.9,1.8,-10,"109.72",54
-1.9,1.8,-20,"125.51",49
-1.9,1.8,-30,"81.96",48
-1.9,1.8,-40,"-14.97",11
-1.9,1.9,-10,"101.32",51
-1.9,1.9,-20,"119.16",46
-1.9,1.9,-30,"76.84",45
-1.9,1.9,-40,"-14.51",11
-1.9,2,-10,"102.22",50
-1.9,2,-20,"120.14",45
-1.9,2,-30,"77.20",44
-1.9,2,-40,"-14.45",11
-1.8,0.1,-10,"190.17",91
-1.8,0.1,-20,"190.17",91
-1.8,0.1,-30,"190.17",91
-1.8,0.1,-40,"190.17",91
-1.8,0.2,-10,"199.04",90
-1.8,0.2,-20,"199.04",90
-1.8,0.2,-30,"199.04",90
-1.8,0.2,-40,"199.04",90
-1.8,0.3,-10,"199.07",89
-1.8,0.3,-20,"199.07",89
-1.8,0.3,-30,"199.07",89
-1.8,0.3,-40,"199.07",89
-1.8,0.4,-10,"202.72",87
-1.8,0.4,-20,"202.72",87
-1.8,0.4,-30,"202.72",87
-1.8,0.4,-40,"202.72",87
