"cond_open_sell_okft_buy_bitf","cond_open_buy_okft_sell_bitf","scaling","cond_close","profit","deals"
0.3,-0.3,1,0.6,"42.96",134
0.3,-0.3,1,0.8,"34.04",87
0.3,-0.3,1,1,"31.43",67
0.3,-0.3,1,1.2,"28.08",46
0.3,-0.3,1,1.4,"29.38",39
0.3,-0.3,1,1.6,"16.90",25
0.3,-0.3,1,1.8,"20.22",27
0.3,-0.3,1,2,"20.97",22
0.3,-0.3,1,2.2,"18.89",18
0.3,-0.3,1,2.4,"20.96",17
0.3,-0.3,1,2.6,"19.44",11
0.3,-0.3,1,2.8,"15.51",8
0.3,-0.3,1,3,"20.56",11
0.3,-0.3,1.5,0.6,"46.76",142
0.3,-0.3,1.5,0.8,"38.25",93
0.3,-0.3,1.5,1,"28.44",70
0.3,-0.3,1.5,1.2,"26.83",49
0.3,-0.3,1.5,1.4,"29.17",41
0.3,-0.3,1.5,1.6,"28.83",38
0.3,-0.3,1.5,1.8,"16.80",21
0.3,-0.3,1.5,2,"17.49",19
0.3,-0.3,1.5,2.2,"16.61",18
0.3,-0.3,1.5,2.4,"21.14",21
0.3,-0.3,1.5,2.6,"18.30",11
0.3,-0.3,1.5,2.8,"19.22",11
0.3,-0.3,1.5,3,"18.89",11
0.3,-0.3,2,0.6,"54.72",169
0.3,-0.3,2,0.8,"39.61",109
0.3,-0.3,2,1,"38.67",81
0.3,-0.3,2,1.2,"27.08",54
0.3,-0.3,2,1.4,"32.89",46
0.3,-0.3,2,1.6,"25.93",32
0.3,-0.3,2,1.8,"21.99",23
0.3,-0.3,2,2,"21.34",22
0.3,-0.3,2,2.2,"21.32",18
0.3,-0.3,2,2.4,"21.87",18
0.3,-0.3,2,2.6,"22.27",19
0.3,-0.3,2,2.8,"22.41",15
0.3,-0.3,2,3,"18.97",12
0.3,-0.3,2.5,0.6,"51.23",170
0.3,-0.3,2.5,0.8,"44.10",108
0.3,-0.3,2.5,1,"42.09",90
0.3,-0.3,2.5,1.2,"33.52",56
0.3,-0.3,2.5,1.4,"41.21",60
0.3,-0.3,2.5,1.6,"27.20",38
0.3,-0.3,2.5,1.8,"24.06",30
0.3,-0.3,2.5,2,"22.83",25
0.3,-0.3,2.5,2.2,"22.59",20
0.3,-0.3,2.5,2.4,"14.60",12
0.3,-0.3,2.5,2.6,"18.09",13
0.3,-0.3,2.5,2.8,"17.36",12
0.3,-0.3,2.5,3,"20.29",12
0.3,-0.3,3,0.6,"50.17",180
0.3,-0.3,3,0.8,"43.54",122
0.3,-0.3,3,1,"44.28",88
0.3,-0.3,3,1.2,"40.88",71
0.3,-0.3,3,1.4,"44.65",63
0.3,-0.3,3,1.6,"39.22",50
0.3,-0.3,3,1.8,"24.15",27
0.3,-0.3,3,2,"28.48",25
0.3,-0.3,3,2.2,"18.04",17
0.3,-0.3,3,2.4,"19.97",15
0.3,-0.3,3,2.6,"15.31",12
0.3,-0.3,3,2.8,"16.13",12
0.3,-0.3,3,3,"17.87",14
0.6,-0.6,1,0.6,"47.32",134
0.6,-0.6,1,0.8,"38.21",93
0.6,-0.6,1,1,"34.56",68
0.6,-0.6,1,1.2,"29.64",47
0.6,-0.6,1,1.4,"22.07",33
0.6,-0.6,1,1.6,"17.30",25
0.6,-0.6,1,1.8,"20.56",24
0.6,-0.6,1,2,"20.47",22
0.6,-0.6,1,2.2,"20.96",22
0.6,-0.6,1,2.4,"19.06",14
0.6,-0.6,1,2.6,"16.48",9
0.6,-0.6,1,2.8,"16.68",9
0.6,-0.6,1,3,"20.98",11
0.6,-0.6,1.5,0.6,"46.91",146
0.6,-0.6,1.5,0.8,"42.38",106
0.6,-0.6,1.5,1,"39.02",80
0.6,-0.6,1.5,1.2,"31.30",50
0.6,-0.6,1.5,1.4,"28.10",39
0.6,-0.6,1.5,1.6,"19.82",31
0.6,-0.6,1.5,1.8,"17.44",20
0.6,-0.6,1.5,2,"16.96",17
0.6,-0.6,1.5,2.2,"17.53",19
0.6,-0.6,1.5,2.4,"20.60",19
0.6,-0.6,1.5,2.6,"17.79",11
0.6,-0.6,1.5,2.8,"19.22",11
0.6,-0.6,1.5,3,"18.89",11
0.6,-0.6,2,0.6,"60.59",177
0.6,-0.6,2,0.8,"44.06",114
0.6,-0.6,2,1,"38.92",80
0.6,-0.6,2,1.2,"36.00",60
0.6,-0.6,2,1.4,"37.40",48
0.6,-0.6,2,1.6,"28.17",35
0.6,-0.6,2,1.8,"24.01",26
0.6,-0.6,2,2,"21.88",22
0.6,-0.6,2,2.2,"21.54",18
0.6,-0.6,2,2.4,"17.53",13
0.6,-0.6,2,2.6,"20.84",14
0.6,-0.6,2,2.8,"22.69",15
0.6,-0.6,2,3,"19.24",12
0.6,-0.6,2.5,0.6,"51.20",172
0.6,-0.6,2.5,0.8,"42.66",109
0.6,-0.6,2.5,1,"43.73",89
0.6,-0.6,2.5,1.2,"35.49",66
0.6,-0.6,2.5,1.4,"46.51",66
0.6,-0.6,2.5,1.6,"19.10",30
0.6,-0.6,2.5,1.8,"29.42",34
0.6,-0.6,2.5,2,"22.90",25
0.6,-0.6,2.5,2.2,"20.80",19
0.6,-0.6,2.5,2.4,"14.72",12
