"cond_open_sell_okft_buy_bitf","cond_open_buy_okft_sell_bitf","cond_close","profit","deals"
1,-1,0.4,"53.29",256
1,-1,0.5,"52.65",201
1,-1,0.6,"63.25",176
1,-1,0.7,"51.47",138
1,-1,0.8,"52.14",126
1,-1.1,0.4,"53.03",254
1,-1.1,0.5,"50.85",196
1,-1.1,0.6,"48.60",153
1,-1.1,0.7,"52.25",138
1,-1.1,0.8,"50.72",122
1,-1.2,0.4,"52.54",255
1,-1.2,0.5,"51.88",199
1,-1.2,0.6,"61.47",172
1,-1.2,0.7,"53.36",140
1,-1.2,0.8,"51.52",122
1,-1.3,0.4,"62.23",263
1,-1.3,0.5,"62.89",214
1,-1.3,0.6,"60.73",171
1,-1.3,0.7,"50.63",134
1,-1.3,0.8,"51.77",121
1,-1.4,0.4,"63.32",269
1,-1.4,0.5,"63.22",215
1,-1.4,0.6,"71.52",190
1,-1.4,0.7,"63.28",151
1,-1.4,0.8,"51.76",121
1,-1.5,0.4,"63.60",270
1,-1.5,0.5,"65.32",218
1,-1.5,0.6,"58.23",170
1,-1.5,0.7,"65.49",153
1,-1.5,0.8,"50.96",121
1,-1.6,0.4,"51.58",249
1,-1.6,0.5,"51.37",202
1,-1.6,0.6,"61.54",170
1,-1.6,0.7,"64.81",150
1,-1.6,0.8,"51.73",122
1,-1.7,0.4,"50.56",246
1,-1.7,0.5,"49.73",196
1,-1.7,0.6,"45.32",148
1,-1.7,0.7,"61.74",143
1,-1.7,0.8,"46.95",115
1,-1.8,0.4,"50.61",248
1,-1.8,0.5,"49.10",193
1,-1.8,0.6,"43.76",148
1,-1.8,0.7,"49.19",132
1,-1.8,0.8,"45.80",112
1,-1.9,0.4,"62.06",264
1,-1.9,0.5,"51.33",202
1,-1.9,0.6,"42.75",146
1,-1.9,0.7,"49.18",133
1,-1.9,0.8,"56.39",123
1,-2,0.4,"61.47",262
1,-2,0.5,"51.84",206
1,-2,0.6,"46.03",154
1,-2,0.7,"61.84",146
1,-2,0.8,"45.66",111
1.1,-1,0.4,"53.92",260
1.1,-1,0.5,"55.72",211
1.1,-1,0.6,"70.45",190
1.1,-1,0.7,"53.36",143
1.1,-1,0.8,"51.81",125
1.1,-1.1,0.4,"53.15",257
1.1,-1.1,0.5,"54.18",206
1.1,-1.1,0.6,"54.65",165
1.1,-1.1,0.7,"53.70",141
1.1,-1.1,0.8,"50.70",121
1.1,-1.2,0.4,"51.67",260
1.1,-1.2,0.5,"46.47",189
1.1,-1.2,0.6,"68.49",185
1.1,-1.2,0.7,"53.96",143
1.1,-1.2,0.8,"47.57",117
1.1,-1.3,0.4,"63.03",269
1.1,-1.3,0.5,"64.90",220
1.1,-1.3,0.6,"60.81",171
1.1,-1.3,0.7,"61.48",146
1.1,-1.3,0.8,"46.95",116
1.1,-1.4,0.4,"63.15",269
1.1,-1.4,0.5,"65.27",220
1.1,-1.4,0.6,"65.92",179
1.1,-1.4,0.7,"61.80",148
1.1,-1.4,0.8,"47.73",117
1.1,-1.5,0.4,"63.29",271
1.1,-1.5,0.5,"67.63",223
1.1,-1.5,0.6,"66.63",182
1.1,-1.5,0.7,"63.31",155
1.1,-1.5,0.8,"50.75",122
1.1,-1.6,0.4,"51.77",252
1.1,-1.6,0.5,"52.92",208
1.1,-1.6,0.6,"67.21",183
1.1,-1.6,0.7,"51.45",137
1.1,-1.6,0.8,"51.50",122
1.1,-1.7,0.4,"51.72",256
1.1,-1.7,0.5,"52.81",206
1.1,-1.7,0.6,"44.12",147
1.1,-1.7,0.7,"59.60",145
1.1,-1.7,0.8,"51.49",121
1.1,-1.8,0.4,"50.38",252
1.1,-1.8,0.5,"49.44",198
1.1,-1.8,0.6,"43.82",147
1.1,-1.8,0.7,"47.74",134
1.1,-1.8,0.8,"61.50",129
1.1,-1.9,0.4,"61.89",267
1.1,-1.9,0.5,"50.73",204
1.1,-1.9,0.6,"43.68",147
1.1,-1.9,0.7,"49.27",135
1.1,-1.9,0.8,"61.26",128
1.1,-2,0.4,"61.56",266
1.1,-2,0.5,"50.62",207
1.1,-2,0.6,"45.07",152
1.1,-2,0.7,"61.21",147
1.1,-2,0.8,"61.54",129
1.2,-1,0.4,"53.48",261
1.2,-1,0.5,"55.34",208
1.2,-1,0.6,"65.28",182
1.2,-1,0.7,"52.86",143
1.2,-1,0.8,"50.33",123
1.2,-1.1,0.4,"52.61",259
1.2,-1.1,0.5,"65.66",218
1.2,-1.1,0.6,"70.10",191
1.2,-1.1,0.7,"53.38",142
1.2,-1.1,0.8,"50.88",123
1.2,-1.2,0.4,"62.87",275
1.2,-1.2,0.5,"45.64",186
1.2,-1.2,0.6,"55.55",168
1.2,-1.2,0.7,"53.32",142
1.2,-1.2,0.8,"47.34",117
1.2,-1.3,0.4,"62.94",269
1.2,-1.3,0.5,"64.07",218
1.2,-1.3,0.6,"67.98",187
1.2,-1.3,0.7,"52.70",138
1.2,-1.3,0.8,"50.00",120
1.2,-1.4,0.4,"62.71",270
1.2,-1.4,0.5,"62.96",216
1.2,-1.4,0.6,"75.10",197
1.2,-1.4,0.7,"50.76",138
1.2,-1.4,0.8,"47.10",116
1.2,-1.5,0.4,"63.03",272
1.2,-1.5,0.5,"66.86",220
1.2,-1.5,0.6,"71.87",192
1.2,-1.5,0.7,"66.80",156
1.2,-1.5,0.8,"46.64",116
1.2,-1.6,0.4,"49.80",254
1.2,-1.6,0.5,"63.95",222
1.2,-1.6,0.6,"70.06",189
1.2,-1.6,0.7,"66.18",153
1.2,-1.6,0.8,"47.45",117
1.2,-1.7,0.4,"50.02",251
1.2,-1.7,0.5,"51.20",201
1.2,-1.7,0.6,"52.88",167
1.2,-1.7,0.7,"50.78",135
1.2,-1.7,0.8,"46.17",116
1.2,-1.8,0.4,"48.74",250
1.2,-1.8,0.5,"49.57",198
1.2,-1.8,0.6,"53.13",166
1.2,-1.8,0.7,"49.34",134
1.2,-1.8,0.8,"60.90",129
1.2,-1.9,0.4,"47.62",247
1.2,-1.9,0.5,"48.56",198
1.2,-1.9,0.6,"51.27",164
1.2,-1.9,0.7,"50.55",137
1.2,-1.9,0.8,"56.48",122
1.2,-2,0.4,"47.99",247
1.2,-2,0.5,"51.18",206
1.2,-2,0.6,"53.03",169
1.2,-2,0.7,"50.37",138
1.2,-2,0.8,"60.99",129
1.3,-1,0.4,"53.34",260
1.3,-1,0.5,"66.79",220
1.3,-1,0.6,"66.90",188
1.3,-1,0.7,"52.42",143
1.3,-1,0.8,"49.06",123
1.3,-1.1,0.4,"52.93",259
1.3,-1.1,0.5,"64.35",213
1.3,-1.1,0.6,"67.24",189
1.3,-1.1,0.7,"53.59",142
1.3,-1.1,0.8,"44.87",116
1.3,-1.2,0.4,"59.80",265
1.3,-1.2,0.5,"64.44",216
1.3,-1.2,0.6,"68.51",189
1.3,-1.2,0.7,"53.30",141
1.3,-1.2,0.8,"49.34",122
1.3,-1.3,0.4,"62.17",268
1.3,-1.3,0.5,"48.34",194
1.3,-1.3,0.6,"68.42",189
1.3,-1.3,0.7,"51.15",136
1.3,-1.3,0.8,"44.20",112
1.3,-1.4,0.4,"61.56",267
1.3,-1.4,0.5,"48.38",193
1.3,-1.4,0.6,"68.23",191
1.3,-1.4,0.7,"50.65",137
1.3,-1.4,0.8,"45.65",114
1.3,-1.5,0.4,"62.39",270
1.3,-1.5,0.5,"65.33",215
1.3,-1.5,0.6,"64.24",179
1.3,-1.5,0.7,"51.20",138
1.3,-1.5,0.8,"45.07",114
1.3,-1.6,0.4,"50.40",253
1.3,-1.6,0.5,"62.74",217
1.3,-1.6,0.6,"49.42",163
1.3,-1.6,0.7,"49.61",135
1.3,-1.6,0.8,"46.18",115
1.3,-1.7,0.4,"50.84",251
1.3,-1.7,0.5,"48.87",193
1.3,-1.7,0.6,"51.03",165
1.3,-1.7,0.7,"59.15",142
1.3,-1.7,0.8,"44.63",114
1.3,-1.8,0.4,"49.36",248
1.3,-1.8,0.5,"47.21",190
1.3,-1.8,0.6,"51.15",165
1.3,-1.8,0.7,"59.54",142
1.3,-1.8,0.8,"43.59",111
1.3,-1.9,0.4,"48.99",248
1.3,-1.9,0.5,"49.58",198
1.3,-1.9,0.6,"50.35",164
1.3,-1.9,0.7,"59.17",143
